run                             placed    lift_cm   pen_mm  frames
------------------------------------------------------------------
gripper-behind-the-reach        False        0.00    0.000     780
gripper-centre-as-tuned         True        28.86    0.036     780
gripper-far-centred             True        29.73    0.215     780
gripper-left-and-far            True        32.12    0.344     780
gripper-left                    True        28.60    0.265     780
gripper-narrow-block            True        29.28    0.056     780
gripper-near-centred            True        28.58    0.057     780
gripper-off-the-scan-grid       True        28.69    0.316     780
gripper-right-and-near          True        28.94    0.315     780
gripper-right                   True        28.62    0.290     780
gripper-run                     True        28.86    0.036     420
gripper-tall-thin-block         True        25.51    0.034     780
gripper-wide-block              True        28.44    0.047     780
